Category,Product,Currently Carry,SKU/Note,Suggested Manufacturer,Priority,Zoom Recommended,Notes
Foundational,B-Balanced (activated B-complex),Yes,PINM236,NuMedica,,,Have
Foundational,Vit A 25000 IU,Yes,PINM586,NuMedica,,,Have
Foundational,D3K25000 (5000 IU D3 + K2),Yes,PINM980,NuMedica,,,Have
Foundational,E-Balanced (tocopherol blend),Yes,PINM112,NuMedica,,,Have
Foundational,Max Multi (herb-free iron-free),Yes,PINM250,NuMedica,,,Have
Foundational,Absorbable Zinc 30mg,Yes,PINM148,NuMedica,,,Have
Foundational,Magnesium Glycinate 600mg,Yes,MAGGLYCNI,All-In Nutritionals,,,Have
Foundational,Organic Iodine drops,Yes,PINM185,NuMedica,,,Have
Foundational,Vitamin C 500-1000mg,No,,NuMedica,High,,Glaring hole - pharmacy staple
Foundational,D3/K2 10000 IU,No,,NuMedica or Metagenics,High,Yes,Zoom protocol: 10K first month then 5K maintenance
Foundational,Vitamin D3 5000 IU standalone (no K2),No,,NuMedica,High,,For patients on warfarin or K2 sensitive
Foundational,Vitamin B12 sublingual methylcobalamin,No,,NuMedica,High,,1000 or 5000 mcg
Foundational,Vitamin K2 standalone MK-7,No,,NuMedica,Med,,100-200 mcg for bone/cardio
Foundational,Selenium 200mcg,No,,NuMedica,High,,Thyroid antioxidant
Foundational,Iron bisglycinate,No,,NuMedica,Med,,Gentle chelated form for anemia
Foundational,Calcium standalone (citrate or malate),No,,NuMedica,Med,,For patients not needing full OsteoPlus
Foundational,Magnesium citrate,No,,NuMedica or All-In,Med,,Different form - often for constipation
Foundational,Magnesium threonate (Magtein),No,,Life Extension or Thorne,Med,,Cognitive/brain
Life-Stage Multi,Max Multi (current),Yes,PINM250,NuMedica,,,Have - men + post-menopausal women
Life-Stage Multi,Prenatal multivitamin,No,,Metagenics or Nordic,High,,Pharmacy staple
Life-Stage Multi,Kids gummy multivitamin,No,,Metagenics or Nordic Berries,High,,
Life-Stage Multi,Senior 50+ multi,No,,Metagenics or Thorne,High,,Elevated B12 D3 no iron
Life-Stage Multi,Women's multi with iron,No,,NuMedica or Metagenics,Med,,Pre-menopausal
Life-Stage Multi,Men's multi,No,,NuMedica,Med,,With saw palmetto or lycopene
Probiotics/Digestive,FemFlora Balance,Yes,ML001,Microbiome Labs,,,Have - vaginal/UTI
Probiotics/Digestive,FloraRestore,Yes,ML003,Microbiome Labs,,,Have - during antibiotics
Probiotics/Digestive,Ultra Spore Biotic,Yes,ML002,Microbiome Labs,,,Have - shelf-stable daily
Probiotics/Digestive,Ultra Flora 50B,Yes,PINM555,NuMedica,,,Have - high potency
Probiotics/Digestive,Ultra Pre Powder,Yes,ML004,Microbiome Labs,,,Have - prebiotic
Probiotics/Digestive,GastroGuard,Yes,ML005,Microbiome Labs,,,Have - reflux/H. pylori
Probiotics/Digestive,Strengtia 100B hypoallergenic,No,,Apex Energetics,High,Yes,Zoom ask - dairy-free hypoallergenic
Probiotics/Digestive,Kids chewable probiotic,No,,Klaire Labs or Metagenics,High,,
Probiotics/Digestive,Broad-spectrum digestive enzymes,No,,NuMedica or Enzymedica,Med,,
Probiotics/Digestive,Betaine HCl,No,,NuMedica or Designs for Health,Med,,For low stomach acid
Probiotics/Digestive,L-glutamine powder,No,,NuMedica or Thorne,Med,,Gut lining repair - also sports
Probiotics/Digestive,Slippery elm / Marshmallow root,No,,NuMedica,Low,,GI soothing
Probiotics/Digestive,S. boulardii standalone,No,,Klaire Labs,Low,,Yeast probiotic
Cardiovascular,EPADHA950 (Omega-3),Yes,PINM035,NuMedica,,,Have - 430 EPA + 390 DHA
Cardiovascular,Red Yeast Rice,Yes,PINM052,NuMedica,,,Have - 905mg citrinin-free
Cardiovascular,Ubiquinol 100mg,Yes,PINM234,NuMedica,,,Have
Cardiovascular,Berkeley Life Nitric Oxide,No,,Berkeley Life,High,Yes,Zoom ask - lozenges + capsules
Cardiovascular,Nattokinase 2000 FU,No,,NuMedica or Doctor's Best,Med,,Clotting/circulation
Cardiovascular,Vegan/Algal Omega-3,No,,Nordic Naturals or Ovega-3,Low,,For vegetarian patients
Cardiovascular,CoQ10 ubiquinone standalone,No,,NuMedica,Med,,Cheaper alternative to Ubiquinol
Immune,Vitamin C 1000mg,No,,NuMedica,High,,Cross-listed foundational
Immune,Elderberry syrup + capsules,No,,NuMedica or Gaia Herbs,High,,Adult + kids strengths
Immune,Elderberry gummies (kids/adult),No,,NuMedica or Sambucol,High,,
Immune,Quercetin + Bromelain 500mg,No,,NuMedica or Thorne,High,,
Immune,NAC (N-Acetyl Cysteine) 600mg,No,,NuMedica or Thorne,High,,Respiratory + antioxidant
Immune,Zinc lozenges,No,,NuMedica or Life Extension,Med,,Different from daily zinc
